system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_1_1_2_176_0,0.0391,0.0334,0.0191,0.0408,0.0491,0.0368,0.0419,0.0575,0.0638,0.082,0.0652,0.1169,-0.27253887,0.11336277,0.045802552,0.25095347,0.19030304,-0.27238095,0.008571707,0.3355049,-0.6221563,0.09973049,0.38047138,-0.25095347,0.32364812,0.109566905,-15.777537,-10.227045,0.09922929,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44342529143047,-7.300669765503211]}"
1_1_1_1_2_49_0,0.0458,0.0294,0.0171,0.0406,0.0416,0.0322,0.0486,0.0512,0.0496,0.0423,0.0491,0.0847,-0.14740485,0.027121374,0.010596218,0.008343274,0.17183098,-0.26451612,0.013017022,0.020506622,-0.4242424,0.16000001,0.13557047,-0.008343274,-0.069306925,0.026370756,-25.21929,-11.6691475,0.0043746755,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43050263626797,-7.275236032421679]}"
1_1_1_1_2_149_0,0.045,0.0438,0.0353,0.0415,0.0379,0.0367,0.045,0.0439,0.0457,0.0486,0.0446,0.0939,-0.056271974,0.031068875,0.010641734,0.123699404,-0.072215416,-0.10745889,0.026656585,0.07880134,-0.15852202,-0.026963677,0.13950762,-0.123699404,0.038461532,0.030497182,-19.152914,-8.4221735,0.018047791,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42964671952916,-7.307346174595303]}"
1_1_1_1_2_151_0,0.0463,0.0335,0.0244,0.0342,0.0395,0.0324,0.0464,0.0471,0.0486,0.0385,0.0433,0.0663,-0.049062047,0.015618596,0.0059050564,-0.012820538,0.08219179,-0.15716755,0.020534026,0.059147157,-0.22416535,0.010339743,0.08603665,0.012820538,-0.09305065,0.016027322,-24.096853,-17.237993,0.011262436,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4266564291345,-7.307885108456006]}"
1_1_1_1_2_170_0,0.0393,0.0296,0.0169,0.0353,0.0451,0.0314,0.0403,0.0592,0.07,0.0663,0.0747,0.0724,-0.2496925,0.088135764,0.035218995,0.19030519,0.20749666,-0.2731183,0.008003921,0.30511808,-0.59375,0.087827444,0.35721597,-0.19030519,0.24390242,0.08758574,-17.79158,-13.333926,0.07729387,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44043201902772,-7.303651056659517]}"
1_1_1_1_2_36_0,0.0437,0.0437,0.0362,0.0375,0.045,0.0367,0.0494,0.0492,0.0578,0.0508,0.0541,0.07,-0.04682871,0.035615057,0.012859457,0.060542773,0.014656182,-0.093867294,0.026152363,0.15062284,-0.16781606,-0.076354645,0.16114286,-0.060542773,0.01397205,0.036000002,-19.198889,-8.96403,0.033911265,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43902359226487,-7.270633490315927]}"
1_1_1_1_2_15_0,0.0461,0.0471,0.0367,0.0386,0.0418,0.0369,0.0465,0.0527,0.0514,0.0478,0.0545,0.0635,-0.014084526,0.027814643,0.009092352,0.0669643,-0.059617553,-0.12410502,0.02833117,0.10648147,-0.13136096,-0.09918318,0.12868951,-0.0669643,0.013785798,0.027963063,-18.412556,-15.884961,0.023533422,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42928468820342,-7.307074354555301]}"
1_1_1_1_2_164_0,0.0399,0.0291,0.0227,0.033,0.0413,0.0311,0.048,0.0396,0.0462,0.0307,0.0434,0.0585,-0.028248584,-0.0010311387,-4.5558543E-5,-0.1472222,0.17329542,-0.12355213,0.022995766,-0.036106747,-0.14981273,0.06280191,-0.006472481,0.1472222,-0.21982211,-0.0010679939,-15.454892,-12.675804,-0.006120276,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44133918774257,-7.302657183421133]}"
1_1_1_1_2_141_0,0.0419,0.0539,0.032,0.0344,0.0388,0.0323,0.054,0.0785,0.0599,0.0453,0.0779,0.1314,0.03918022,0.033126086,0.009172037,0.07728892,-0.16289103,-0.2549476,0.022816777,0.13676284,-0.1720569,-0.22083804,0.16752578,-0.07728892,-0.0876133,0.033760387,-19.38237,-11.730419,0.02820424,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41888706723226,-7.291050734521758]}"
1_1_1_1_2_89_0,0.05,0.0514,0.0448,0.0405,0.0416,0.0348,0.051,0.0457,0.0506,0.0449,0.0476,0.0593,0.004661997,0.026580345,0.0071581393,0.03815029,-0.105376326,-0.06860707,0.034722492,0.051522247,-0.0011148461,-0.11860716,0.12672521,-0.03815029,-0.06360792,0.026134206,-25.605497,-17.972818,0.011274342,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42828838580542,-7.306892185044968]}"
