system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_2_91_0,0.057,0.1116,0.07,0.0676,0.08,0.0845,0.1214,0.1576,0.1698,0.1613,0.1741,0.1703,-0.07717648,0.16533196,0.07199733,0.336925,-0.16492693,-0.22907488,0.0366708,0.40934908,-0.39472547,0.24553572,0.31244916,-0.336925,0.14113903,0.154465,-16.004585,-10.145898,0.19282481,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43271515476805,-7.316666815880762]}"
1_1_2_66_0,0.0518,0.1117,0.0643,0.0532,0.0628,0.0568,0.0819,0.1405,0.1608,0.1618,0.1628,0.1902,-0.12125163,0.23785791,0.09527059,0.44078362,-0.28022924,-0.26931816,0.02257256,0.5051163,-0.43122512,-0.35476047,0.48032936,-0.44078362,0.3278621,0.21917617,-18.230188,-13.179361,0.22783217,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43658507713063,-7.264750934669369]}"
1_1_2_65_0,0.0496,0.1226,0.0723,0.054,0.0637,0.0524,0.0837,0.1342,0.1592,0.1556,0.163,0.1921,-0.0899636,0.24225351,0.09075911,0.41906065,-0.31615674,-0.25808105,0.024347816,0.4847328,-0.36551118,-0.38844845,0.49615383,-0.41906065,0.30045965,0.21864407,-24.243757,-4.983785,0.21476887,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43667645095883,-7.264117867668228]}"
1_1_2_84_0,0.0627,0.0883,0.0464,0.066,0.0814,0.083,0.1094,0.145,0.1612,0.1459,0.1604,0.1272,-0.1059499,0.13687006,0.06196073,0.28376594,-0.040659975,-0.31106162,0.026396161,0.37706465,-0.5174207,0.14452364,0.2747925,-0.28376594,0.14296904,0.12944162,-24.13696,-11.1917,0.16835229,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41754584246281,-7.277390458012035]}"
1_1_2_2_0,0.0564,0.1548,0.1022,0.0645,0.08,0.0868,0.1169,0.1498,0.1646,0.1813,0.1728,0.1688,-0.008617145,0.19390978,0.082449004,0.387677,-0.318569,-0.20466925,0.048929732,0.4751831,-0.27901235,0.4117647,0.3524804,-0.387677,0.21596244,0.18454628,-14.698899,-5.5190663,0.23491554,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42671218600378,-7.264014934295969]}"
1_1_2_163_0,0.0668,0.2982,0.2211,0.0806,0.1074,0.1218,0.16,0.2352,0.2746,0.2719,0.299,0.3289,0.08737865,0.2683808,0.118838295,0.43369365,-0.47041422,-0.1484691,0.09904369,0.54269505,-0.10304259,0.5744456,0.38125476,-0.43369365,0.25908774,0.25193018,-13.589053,-11.014214,0.33659825,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45369635882217,-7.272550953973578]}"
1_1_2_90_0,0.0602,0.0459,0.0284,0.0708,0.0806,0.0896,0.111,0.1115,0.122,0.1094,0.1068,0.0947,-0.14159012,0.044354837,0.027544536,0.15157893,0.27430832,-0.23553161,0.023259964,0.21420643,-0.58780843,-0.21336763,0.09949749,-0.15157893,-0.007259543,0.04248927,-21.269712,-13.79907,0.08512202,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4296369640733,-7.315034757237781]}"
1_1_2_70_0,0.0675,0.0942,0.0623,0.0681,0.078,0.079,0.1014,0.1159,0.1306,0.1194,0.1313,0.1026,-0.039645124,0.093289606,0.03770625,0.20972644,-0.09407665,-0.20383386,0.04122027,0.2736,-0.31425428,0.16081333,0.20362902,-0.20972644,0.08152175,0.08676975,-16.40958,-9.408936,0.11192728,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42371307845126,-7.2716997372220415]}"
1_1_2_127_0,0.0559,0.1079,0.0706,0.0578,0.0723,0.0735,0.1104,0.1485,0.168,0.1519,0.1768,0.1693,-0.07235999,0.16905294,0.07230361,0.3550401,-0.19755825,-0.20896357,0.034161292,0.44873628,-0.36539322,0.30235368,0.34782606,-0.3550401,0.15821576,0.16211744,-14.070879,-6.615863,0.19888684,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43189841928528,-7.317751235710532]}"
1_1_2_13_0,0.0472,0.2343,0.1384,0.0594,0.0703,0.0817,0.1143,0.1795,0.2164,0.2058,0.2494,0.3486,0.087405376,0.24810076,0.09705614,0.49076423,-0.538411,-0.2573115,0.05494305,0.55203617,-0.19581637,0.5955056,0.4316522,-0.49076423,0.28584817,0.23638095,-14.493571,-12.210037,0.2869838,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45646433114185,-7.305932009336604]}"
1_1_2_132_0,0.0592,0.093,0.0593,0.0628,0.0764,0.0794,0.1096,0.1371,0.1637,0.1729,0.1686,0.1644,-0.15510903,0.19837902,0.09108981,0.38708386,-0.09799295,-0.2212738,0.027232042,0.46711925,-0.48923343,0.19383828,0.37059057,-0.38708386,0.22407082,0.1864283,-21.81827,-10.805859,0.2244801,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.441055942331,-7.3118831660174335]}"
1_1_2_192_0,0.0608,0.2372,0.1803,0.0738,0.0912,0.113,0.1322,0.1814,0.2159,0.2159,0.2361,0.2217,0.09454603,0.19192033,0.08088922,0.40605667,-0.44457978,-0.13628745,0.094367296,0.49050745,-0.08985362,0.52540195,0.31286106,-0.40605667,0.24044816,0.18621065,-16.009794,-8.186451,0.26991263,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41566664511923,-7.259478143554175]}"
1_1_2_199_0,0.0659,0.1842,0.1307,0.0763,0.089,0.1009,0.1333,0.155,0.1767,0.1687,0.1907,0.2138,0.07564612,0.14103256,0.053037524,0.30927432,-0.34846267,-0.16989519,0.07817209,0.37714282,-0.12692046,0.41420344,0.25148365,-0.30927432,0.117218524,0.13214655,-14.879917,-5.183567,0.18604025,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4222684312265,-7.2679892799265895]}"
1_1_2_188_0,0.0556,0.1151,0.0717,0.0654,0.0772,0.0833,0.1133,0.1334,0.1523,0.1456,0.1583,0.1681,-0.030776758,0.13486016,0.056664392,0.3070018,-0.19708785,-0.23233403,0.041020673,0.38009483,-0.34008285,0.27534628,0.27217126,-0.3070018,0.124758616,0.1282069,-22.040115,-9.505503,0.16919833,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41058451349781,-7.266707891003637]}"
1_1_2_147_0,0.0566,0.0475,0.0258,0.059,0.0751,0.0807,0.1014,0.1101,0.1189,0.115,0.1151,0.1427,-0.15155526,0.07413331,0.040183723,0.20988956,0.22512233,-0.29604363,0.01810487,0.3218391,-0.63352275,-0.10798123,0.17526826,-0.20988956,0.062846586,0.07395429,-22.179516,-8.223707,0.12462908,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45576078379543,-7.288382987376001]}"
1_1_2_172_0,0.0581,0.1296,0.0836,0.0648,0.0742,0.0842,0.1091,0.1191,0.1311,0.1247,0.1302,0.1966,0.060252916,0.08851298,0.03245419,0.25389645,-0.27183518,-0.21575986,0.056448437,0.316095,-0.19731158,0.33333334,0.19387266,-0.25389645,0.066723704,0.085696146,-16.313875,-6.5330553,0.13031182,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43060951216931,-7.262301210272006]}"
