month,variable,break_0,break_1,break_2,break_3,break_4,break_5
agustus,B1,0.0,0.12150668286755777,0.22721749696233298,0.35601458080194415,0.5249088699878494,1.0
agustus,B2,0.0,0.10804899387576555,0.19903762029746289,0.3350831146106737,0.5485564304461943,1.0
agustus,B3,0.0,0.1510586319218241,0.262214983713355,0.4299674267100976,0.6677524429967425,0.9999999999999999
agustus,B4,0.0,0.14374090247452698,0.28493449781659397,0.4192139737991267,0.636098981077147,1.0
agustus,B5,0.0,0.14646664034741413,0.2743782076589025,0.4255823134622976,0.6190288195815239,0.9999999999999999
agustus,B6,0.0,0.16940479396714253,0.3730137355238352,0.5270670616751953,0.6929706436843523,1.0
agustus,B7,0.0,0.15773486656541552,0.3584291603384682,0.5330874376220438,0.7090475157300933,1.0
agustus,B8,0.0,0.14793529161345256,0.32545764154959567,0.48424861643252454,0.6692209450830142,1.0
agustus,B8A,0.0,0.1444108761329305,0.3252769385699899,0.4968781470292044,0.6815709969788519,1.0
agustus,B9,0.0,0.14854329093147317,0.33319655313910557,0.5055395978662292,0.6840377513336069,1.0
agustus,B11,0.0,0.08903119190249945,0.21421193968188385,0.371204296632927,0.5364594092129725,0.9999999999999999
agustus,B12,0.0,0.09579253770838846,0.21910558348769513,0.39375496163006085,0.59248478433448,1.0
agustus,NDVI,0.0,0.22171077328856692,0.3780362218233842,0.5248987178293664,0.7578657081991311,1.0
agustus,GNDVI,0.0,0.24141529838491654,0.4537312509563911,0.645396969548511,0.8211457140679749,1.0000000000000002
agustus,EVI,0.0,0.08328110711476286,0.1986004505902194,0.32097882062221805,0.4695655241552842,1.0000000000000002
agustus,SAVI,0.0,0.15768184893296844,0.31974752364464415,0.5418889338938644,0.7616343976720064,1.0
agustus,WAVI,0.0,0.18963570884951536,0.4055741644954475,0.6100470742109451,0.7876367759347342,1.0
agustus,RENDVI,0.0,0.26941267468934277,0.460132773034148,0.6319298667201134,0.8062127841900468,1.0
agustus,NDAVI,0.0,0.23957404241105396,0.46131515429738035,0.6548073664913807,0.8297379748407784,1.0
agustus,FAI,0.0,0.10278959872436133,0.25594890544838883,0.4724710611492856,0.6766727361128491,1.0
agustus,NDWI,0.0,0.1725433226217543,0.35103836088041807,0.5393095749178487,0.7577118303977801,1.0000000000000002
agustus,MNDWI,0.0,0.17893547798638024,0.35620028324999775,0.5893696602660846,0.8012644591703727,1.0
agustus,NDBI,0.0,0.18161595776686984,0.3070768570373613,0.4678157860533061,0.652621417722429,1.0
agustus,NBI,0.0,0.0615919584582943,0.18043608296746524,0.339226692709546,0.5380651934297913,1.0
agustus,NBAI,0.0,0.19308223583858314,0.34638202937123874,0.5119452158903942,0.6709324332961302,1.0
agustus,BSI,0.0,0.2480170109042737,0.3947035762791399,0.5406097427047422,0.7112884714538265,1.0
agustus,NDBSI,0.0,0.14851296238334105,0.35012610083174756,0.5928078055119966,0.7792038395551666,1.0
agustus,VV,0.0,0.4878169785075084,0.6065738852285626,0.6937287762731866,0.7787414779257442,1.0
agustus,VH,0.0,0.21077835517837012,0.46639997644766684,0.6138086008098694,0.7244318185546452,1.0
