system:index,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9,BSI,EVI,FAI,GNDVI,MNDWI,NBAI,NBI,NDAVI,NDBI,NDBSI,NDVI,NDWI,RENDVI,SAVI,VH,VV,WAVI,landcover,.geo
1_1_2_103_0,0.0551,0.1219,0.0696,0.0564,0.0762,0.0792,0.1083,0.1385,0.1492,0.1495,0.1534,0.1403,-0.01179361,0.14625114,0.06273268,0.32476738,-0.23069157,-0.27310705,0.036871705,0.45216122,-0.36467364,0.3673584,0.3073896,-0.32476738,0.1598138,0.14470975,-16.173153,-8.84524,0.19783254,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43921172010701,-7.265025551785068]}"
1_1_2_76_0,0.0533,0.0543,0.0374,0.0536,0.0656,0.0677,0.0889,0.1009,0.1092,0.1036,0.1084,0.1176,-0.12607451,0.081016436,0.038274758,0.2245863,0.09424522,-0.18429661,0.02443996,0.31806618,-0.46950355,0.006487495,0.20957386,-0.2245863,0.07636365,0.080217496,-21.726244,-11.755785,0.11412052,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45828350752919,-7.299873744184813]}"
1_1_2_34_0,0.061,0.0609,0.0349,0.0676,0.0971,0.117,0.1515,0.1564,0.1578,0.1499,0.1503,0.1387,-0.100151755,0.061156973,0.042842075,0.2137652,0.22911392,-0.27139875,0.027240157,0.37839085,-0.62229437,-0.052140065,0.12326716,-0.2137652,-0.0053085457,0.064349994,-24.724257,-14.5874,0.17205577,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41500235479704,-7.282814417547345]}"
1_1_2_194_0,0.0621,0.2996,0.196,0.0708,0.0999,0.1196,0.1685,0.2273,0.2475,0.2566,0.2775,0.2844,0.12295742,0.23731984,0.1051003,0.43955117,-0.49987486,-0.20903957,0.09135464,0.56750154,-0.13389306,0.6177106,0.364168,-0.43955117,0.20724533,0.23453549,-17.31497,-13.962515,0.33683828,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46048371263794,-7.278167272666763]}"
1_1_2_153_0,0.0565,0.0335,0.0217,0.0574,0.0792,0.0856,0.0995,0.0926,0.0969,0.0826,0.0883,0.1029,-0.08066381,-0.0064339153,0.0062331837,0.021013584,0.4055013,-0.21376812,0.022488138,0.17999999,-0.5838926,-0.26292628,-0.017835945,-0.021013584,-0.09280617,-0.0067345244,-16.142845,-5.641395,0.059062496,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.40124307771428,-7.275107857638716]}"
1_1_2_143_0,0.0576,0.1802,0.1128,0.0676,0.0919,0.0985,0.1509,0.2001,0.2142,0.2187,0.2394,0.2401,-0.013451344,0.23067476,0.10572109,0.40824214,-0.32451305,-0.23003411,0.05080384,0.5277681,-0.31945702,0.45439872,0.37894076,-0.40824214,0.18344158,0.22063144,-11.605822,-7.5317955,0.28824878,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.40232341788729,-7.28017469469584]}"
1_1_2_118_0,0.0894,0.3445,0.2543,0.1166,0.15,0.1878,0.233,0.2851,0.3106,0.3232,0.3407,0.3175,0.095154844,0.2148524,0.10762952,0.36601856,-0.39332658,-0.15063462,0.14776467,0.46975896,-0.11930735,0.4942529,0.2649706,-0.36601856,0.16217186,0.20089018,-17.952652,-11.049433,0.32975098,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42273059350738,-7.260753537442664]}"
1_1_2_192_0,0.0757,0.3965,0.2795,0.1216,0.16,0.2128,0.2398,0.2761,0.3084,0.3408,0.3415,0.3087,0.13707194,0.18761726,0.09544458,0.36102235,-0.42497754,-0.1730769,0.17452349,0.47404844,-0.098823115,0.53059256,0.23121387,-0.36102235,0.17395796,0.18223234,-18.84383,-12.99202,0.34164587,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.46156775471864,-7.28070129313862]}"
1_1_2_83_0,0.0722,0.2337,0.182,0.1056,0.1478,0.2052,0.2072,0.2343,0.2438,0.2359,0.2457,0.2781,0.124807805,0.045818157,0.025649212,0.22960646,-0.22516385,-0.12436856,0.15831454,0.38155198,-0.12897824,0.37754202,0.06959873,-0.22960646,0.06477093,0.048932098,-19.78615,-12.882108,0.23226382,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45874462383317,-7.293090205746801]}"
1_1_2_8_0,0.0568,0.0976,0.0547,0.0586,0.0774,0.0809,0.1077,0.1294,0.1383,0.1421,0.14,0.1213,-0.05854433,0.12878789,0.058240425,0.29476085,-0.11542857,-0.2816809,0.031141657,0.41604385,-0.4441057,0.24967988,0.27443948,-0.29476085,0.13771018,0.12697098,-21.029146,-13.925188,0.17874983,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42571276375419,-7.266365479247885]}"
1_1_2_21_0,0.061,0.0765,0.0477,0.0676,0.0836,0.0984,0.1112,0.1157,0.1224,0.1303,0.1264,0.1305,-0.061695285,0.065708175,0.035781134,0.21832633,0.04434729,-0.23188406,0.0360221,0.3168267,-0.46404496,0.06176268,0.13948406,-0.21832633,0.07908903,0.06566489,-19.528408,-8.47649,0.13476144,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42934200816168,-7.261756892957826]}"
1_1_2_13_0,0.06,0.0796,0.0481,0.0571,0.073,0.0862,0.1094,0.1173,0.1289,0.126,0.1271,0.1576,-0.049584426,0.08189638,0.04096966,0.26633167,-0.04325033,-0.2466719,0.032906506,0.3762971,-0.44744402,0.16459398,0.18755892,-0.26633167,0.07051828,0.083824776,-16.791662,-10.701752,0.15129556,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4269834832986,-7.264377093773768]}"
1_1_2_5_0,0.0647,0.1026,0.0647,0.0624,0.0786,0.0854,0.1093,0.1266,0.1336,0.1242,0.1364,0.1665,0.0037373235,0.08300531,0.03575181,0.2248521,-0.13245036,-0.22653915,0.04448776,0.33118972,-0.3149815,0.24363638,0.1851145,-0.2248521,0.06381157,0.08201804,-13.018884,-6.0143676,0.13501312,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.43006258491599,-7.26501415141898]}"
1_1_2_94_0,0.0636,0.3206,0.2297,0.089,0.1176,0.1476,0.1928,0.2407,0.2623,0.2665,0.2942,0.3026,0.13682166,0.20022228,0.08824085,0.38765946,-0.46325877,-0.16518264,0.12721846,0.49929675,-0.07416364,0.5654297,0.28712872,-0.38765946,0.16046156,0.19510995,-16.217827,-10.664236,0.3112215,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45350938518159,-7.277344820248175]}"
1_1_2_106_0,0.0544,0.0768,0.0348,0.0582,0.0768,0.0872,0.11,0.1133,0.1213,0.1242,0.1241,0.154,-0.05311778,0.07638946,0.038843095,0.23582087,0.0,-0.3763441,0.024432851,0.3618421,-0.56226414,0.13777779,0.17502365,-0.23582087,0.060631946,0.07801518,-33.5951,-12.730083,0.1450762,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44355793755987,-7.266568628419726]}"
1_1_2_25_0,0.0707,0.2702,0.1823,0.0756,0.106,0.1144,0.1778,0.245,0.2727,0.2819,0.3023,0.2869,0.036518026,0.29882964,0.13988903,0.45346737,-0.43647,-0.19425416,0.07398056,0.5770629,-0.21456267,0.5627531,0.42265958,-0.45346737,0.22645201,0.28031906,-21.150383,-13.153189,0.36087462,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4210015026904,-7.266992669226822]}"
1_1_2_102_0,0.0546,0.1102,0.061,0.0565,0.07,0.0754,0.1052,0.1294,0.1415,0.1206,0.1478,0.1506,0.023435362,0.098324984,0.039032724,0.26547745,-0.22308548,-0.2873832,0.03813765,0.3619424,-0.3281938,0.3221356,0.23061223,-0.26547745,0.06820195,0.097413786,-19.196522,-5.792019,0.14200266,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44029807557934,-7.26556961960491]}"
1_1_2_11_0,0.057,0.0611,0.0351,0.0574,0.0766,0.0886,0.113,0.1194,0.1248,0.1227,0.1292,0.1496,-0.09217707,0.06966007,0.038973562,0.23130958,0.11256356,-0.27027023,0.025345234,0.36257634,-0.55513304,0.031223623,0.1613819,-0.23130958,0.041154,0.071910575,-20.120745,-11.590766,0.14402294,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.42643813697467,-7.26582367183563]}"
1_2_126_0,0.0563,0.2478,0.1433,0.047,0.0758,0.0532,0.1287,0.2835,0.3274,0.332,0.3547,0.3481,-0.114705876,0.53669053,0.24431288,0.6282491,-0.53152037,-0.26719508,0.02296253,0.7519789,-0.3970124,-0.68113977,0.72377986,-0.6282491,0.44128498,0.4724356,-12.733858,-10.753899,0.48634812,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45747710522038,-7.292455504371496]}"
1_2_73_0,0.0519,0.1525,0.0878,0.0489,0.067,0.0516,0.0975,0.209,0.2516,0.2641,0.2558,0.2209,-0.21059753,0.44015905,0.19461843,0.5952884,-0.38952163,-0.26924676,0.017154414,0.68753994,-0.50099456,-0.51439923,0.6731074,-0.5952884,0.46073008,0.39076865,-13.192955,-13.769377,0.39704794,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41055014796672,-7.293029926940045]}"
1_2_149_0,0.0443,0.1514,0.0774,0.0353,0.0477,0.0322,0.0704,0.2128,0.2993,0.304,0.3081,0.3226,-0.29776245,0.5513408,0.2506753,0.7287461,-0.5208438,-0.32342657,0.00819829,0.79192454,-0.5941269,-0.62185323,0.80844736,-0.7287461,0.6239316,0.48756278,-19.169954,-13.357866,0.4802216,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.45594578361059,-7.285217300742163]}"
1_2_183_0,0.0442,0.1464,0.0762,0.0367,0.0479,0.0302,0.0688,0.2221,0.3179,0.3145,0.3328,0.322,-0.33080712,0.5823672,0.26370698,0.7356512,-0.50694805,-0.31536388,0.0073171384,0.7910023,-0.6099309,-0.59912616,0.82477516,-0.7356512,0.64101225,0.5048538,-17.903685,-13.684,0.48954418,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4366753247176,-7.265022409768489]}"
1_2_110_0,0.0402,0.2182,0.1174,0.0391,0.064,0.0447,0.1097,0.2291,0.2509,0.2787,0.284,0.2984,-0.094541065,0.4666374,0.20325223,0.6264955,-0.54642093,-0.30035758,0.018829495,0.7539333,-0.4072204,-0.6960746,0.7235621,-0.6264955,0.43511844,0.42628127,-14.744573,-7.483847,0.43947175,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.4604608794869,-7.297253168321008]}"
1_2_78_0,0.0489,0.1442,0.0747,0.0406,0.0575,0.0439,0.0834,0.2016,0.2625,0.2513,0.2683,0.2435,-0.21625002,0.42844158,0.18962479,0.62759066,-0.4298463,-0.31749657,0.013049463,0.72182256,-0.5417178,-0.56060606,0.70257455,-0.62759066,0.5016433,0.39122233,-19.713913,-11.698241,0.39910343,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.40792384927853,-7.292393317935133]}"
1_2_47_0,0.0408,0.1409,0.0669,0.0331,0.0504,0.0282,0.0725,0.2469,0.3303,0.3264,0.3436,0.3087,-0.36019677,0.5976671,0.27822727,0.7324841,-0.47307894,-0.35611165,0.005779963,0.8158553,-0.65980166,-0.6195402,0.84094757,-0.7324841,0.63650036,0.52340275,-27.296062,-10.317162,0.5118674,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.41981645993336,-7.27278021551101]}"
1_2_193_0,0.0416,0.1999,0.1073,0.034,0.0536,0.05,0.086,0.1738,0.2048,0.217,0.2329,0.2572,-0.0021960323,0.33082408,0.14043464,0.60384333,-0.5771203,-0.3014323,0.024723504,0.72908366,-0.33826703,-0.70927745,0.62546813,-0.60384333,0.4323432,0.32659712,-17.540493,-10.180124,0.36551264,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[110.44872574753519,-7.262956756914882]}"
